detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
FAST,ORB,12,1826,0.70922800,3.74856500,1175,8.96977900,10.07826007,13.40418681
FAST,ORB,13,1842,0.69389600,3.68319800,1161,8.81297300,9.20565887,12.99343768
FAST,ORB,14,1833,0.72243200,3.70844400,1161,8.80267000,9.54236248,12.41452935
FAST,ORB,15,1921,0.72298700,3.73592700,1161,9.10759400,8.39156690,11.65931244
FAST,ORB,16,1934,0.71081400,3.77702000,1216,9.54052100,8.88653053,12.65709071
FAST,ORB,17,1946,0.71362500,3.80340700,1245,9.67236200,11.04299793,9.69769675

FAST,FREAK,0,1864,0.70642100,23.78711400,0,0.00000000,0.00000000,0.00000000
FAST,FREAK,1,1898,0.67951500,24.05018900,959,10.47074400,12.29943227,11.93012605
FAST,FREAK,2,1865,0.69946600,23.88004900,950,10.74033800,12.98777737,12.58668048
FAST,FREAK,3,1840,0.67558500,23.58766900,944,10.49637100,17.26938871,13.98111953
FAST,FREAK,4,1867,0.67148500,23.41155900,889,10.39611800,13.79866612,13.18179487
FAST,FREAK,5,1876,0.69636900,23.75995600,969,10.51859800,12.85564709,11.96019184
FAST,FREAK,6,1843,1.71569500,23.91721200,917,10.31020300,13.34054193,12.00864435
FAST,FREAK,7,1829,0.69814900,23.80917400,886,10.07383600,14.45731022,10.85952694
FAST,FREAK,8,1843,0.67374800,23.15643000,883,9.91867000,13.13016586,12.37703460
FAST,FREAK,9,1818,0.68014700,23.59255800,865,9.86674400,12.34545830,12.71383575
FAST,FREAK,10,1879,0.69164300,23.58812900,897,10.00212300,12.14960324,14.10309150
